                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8898,                0.80616,                  1.052,                0.86489,                0.92308,                 0.9361,                0.42298,                 1.9121,                0.79829,                 1.0481,               0.003268,               0.003268,               0.003268
                     36,                 1.8955,                0.82806,                 1.0468,                0.85608,                0.92747,                0.93307,                0.39916,                 1.9942,                0.79916,                  1.071,                0.00307,                0.00307,                0.00307
                     37,                   1.87,                0.83085,                 1.0179,                0.86516,                0.93374,                0.93486,                0.41134,                 1.9512,                0.81498,                 1.0546,               0.002872,               0.002872,               0.002872
                     38,                 1.8643,                0.82827,                  1.053,                0.87112,                0.92747,                0.94388,                0.42115,                 1.9273,                0.79411,                 1.0499,               0.002674,               0.002674,               0.002674
                     39,                 1.8593,                0.81937,                 1.0371,                0.86365,                0.92931,                 0.9475,                0.42068,                 1.9231,                0.80927,                  1.049,               0.002476,               0.002476,               0.002476
                     40,                 1.8795,                0.82255,                 1.0344,                0.86442,                0.92788,                0.94674,                0.42069,                 1.9131,                0.79383,                 1.0459,               0.002278,               0.002278,               0.002278
                     41,                 1.8459,                0.80481,                 1.0414,                0.86363,                0.93347,                0.95009,                0.42524,                 1.8983,                0.79489,                 1.0429,                0.00208,                0.00208,                0.00208
                     42,                 1.8439,                0.79708,                 1.0335,                0.85897,                0.94179,                0.94733,                0.41272,                 1.9389,                0.80085,                 1.0542,               0.001882,               0.001882,               0.001882
                     43,                 1.8469,                0.79281,                  1.048,                0.86451,                0.92855,                0.94653,                0.40979,                 1.9418,                0.79012,                 1.0543,               0.001684,               0.001684,               0.001684
                     44,                 1.8446,                0.78481,                 1.0271,                0.87693,                 0.9185,                0.94665,                0.40296,                 1.9598,                0.78613,                 1.0596,               0.001486,               0.001486,               0.001486
                     45,                 1.8184,                 0.7822,                 1.0234,                 0.8476,                0.94179,                0.93279,                0.39401,                 1.9683,                0.79687,                 1.0611,               0.001288,               0.001288,               0.001288
                     46,                 1.8457,                0.79207,                 1.0284,                0.84606,                0.94595,                0.94047,                0.40416,                 1.9551,                0.79123,                 1.0565,                0.00109,                0.00109,                0.00109
                     47,                 1.8616,                0.78055,                 1.0298,                0.84956,                0.95098,                0.94583,                0.41515,                 1.9365,                0.77562,                 1.0509,               0.000892,               0.000892,               0.000892
                     48,                 1.8368,                0.77182,                  1.037,                0.84955,                0.95089,                0.94565,                0.41943,                 1.9263,                0.77293,                 1.0492,               0.000694,               0.000694,               0.000694
                     49,                 1.8362,                0.78057,                 1.0269,                 0.8541,                0.95426,                0.95348,                0.42133,                 1.9211,                0.77269,                 1.0485,               0.000496,               0.000496,               0.000496
